Canvas	ClipOutPath|Rect()&nbsp; &nbsp; getHeight()|Width()<div>clopPath|Rect()&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; save() | restore()<br>Drawing: scale()&nbsp; &nbsp; rotate()&nbsp; &nbsp; translate()&nbsp; &nbsp; skew()</div><div>drawARGB(int,int,int,int) - full canvas with color</div><div>drawArc(...)&nbsp; &nbsp; drawBitmap(...)&nbsp; &nbsp; drawCircle() drawColor()</div><div>drawLine()&nbsp; &nbsp;drawLines()&nbsp; &nbsp; drawOval()&nbsp; &nbsp; drawPaint()</div><div>drawPath() drawPoint()&nbsp; &nbsp;drawPoints()</div><div>drawRect()&nbsp; &nbsp;drawRoundRect() drawText()</div><div>drawTextOnPath()</div>
Path	addArc() addCircle() addOval()<div>addPath() adREct() addRoundRect()</div><div>arcTo() cubicTo() lineTo() quadTo()</div><div><br></div><div>close()</div><div>rewind()</div><div>reset()</div>
Formatter	%[arg_index$][flags][width][.precision] conversion<div>'b' 'B' boolean</div><div>'h' 'H' hashCode() toHexString()</div><div>'s' 'S' String</div><div>'c' 'C' Unicode character</div><div>'d' decimal</div><div>'o' octal</div><div>'x' 'X' hexadecimal</div><div>'e' 'E' scientific notation</div><div>'f' float</div><div>'t' 'T' date/time</div>
android.location.*	android.location.*<div>- Address</div><div>- Geocode</div><div>- Location</div>
MotionEvent	ACTION_DOWN, ACTION_MOVE, ACTION_UP<div>often delivered via onTouchEvent(MotionEvent)</div><div>getX() | getX(int pointerIdx) | getY() | getY(int)</div><div>getAction() | getActionButton() | getActionIndex()</div><div>getActionMasked()</div><div>getPointerId()</div><div>getPressure()</div>
AsyncTask&lt;T,U,V&gt;	AsyncTask&lt;T,U,V&gt; T - param, U - Progress, V - Result<div>boolean cancel(boolean mayInterrupt)</div><div>AsyncTask execute(T)</div><div>AsyncTask executeOnExecutor( Executor, T)</div><div>getStatus() // AsyncTask.Status</div><div>get() block/wait get(long, TimeUnit) wait for a time</div><div>onPreExecute() | onPostExecute() // UI Thread</div><div>publishProgress() //background onProgressUpdate() //UI</div><div>&gt;= HoneyComb, serially. Use executor for parallel execution.&nbsp;</div>
Settings	android.provider.Settings<div>Setting provider contains globals</div><div>system-level device preferences</div><div>constains many(all?) Action constants for launching a setting activity</div>
ColorSpace	ColorSpace.Adaptation<div>ColorSpace.Connector</div><div>ColorSpace.Model</div><div>ColorSpace.Named</div>
Color	BLACK|BLUE|CYAN|DKGRAY|GREEN...<div>HSVToColor(float[]) | HSVToColor(float alpha, float[])</div><div>RGBToHSV(int red, int green, int blue, float[])</div><div>argb(int alpha, int red, int green, int blue)</div><div>argb(float alpha, float red, float green, float blue)<br></div><div>alpha() red() blue() green()</div><div>Static Helpers <br>alpha(Color) red(Color) blue(Color) green(Color)</div><div>Color convert(ColorSpace&nbsp;colorSpace)<br></div><div>Many more ColorSpace conversion functions</div>
Paint	Paint.Style.STROKE&nbsp; &nbsp; setTypeface(TypeFace)<div>Paint.Join.ROUND&nbsp; &nbsp; setTextSize(float)</div><div>Paint.Cap.ROUND&nbsp; &nbsp;&nbsp;</div><div>setARGB(int, int, int, int)</div><div>setColor(int color)</div><div>setStrokeCap(Paint.Cap)</div><div>setStrokeJoin(Paint.Join)</div><div>setStrokeWidth(float)<br><div><br></div></div>
SurfaceView	SurfaceHolder getHolder()<div>draw(Canvas)</div>
