to mark the value you want returned	SELECT
to indicate you want a tally of the SELECTed field	COUNT() 
to return the value as a new field	AS
to mark the table data comes from	FROM
to create an inner join	INNER JOIN
to specify the fields that should be matched in the join	ON [] = [] 
to group returned results by a given field	GROUP BY
to specify a numerical threshold for results	HAVING COUNT() <>=
queries always end with	;
to specify parameters	WHERE with Boolean operators
to set the polarity of a grouping	ASC / DESC as last element
to remove duplicates from a return	DISTINCT immediately after select
to make an outer join	LEFT/RIGHT/FULL JOIN
to execute a full join	SELECT... UNION SELECT where the two selects are a left and a right join
to modify a comparison	ANY/SOME/ALL
to take the highest or lowest value	MAX() / MIN() 
to indicate that a value should not be present in a given returned result or table	NOT IN
to indicate a value should be empty	IS NULL
to indicate that there should be a return from the query	EXISTS
to take the average of a field	AVG() 
to form a parameter query	:field
exporting to CSV	"SELECT *<br>FROM table<br>INTO OUTFILE 'filename.csv'<br>FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '""'<br>LINES TERMINATED BY '\n"";"
SQL Functions<div>MIN() MAX() IFNULL() ISNULL()</div><div>COUNT() AVG() SUM()</div><div>CONCAT() COALESCE()&nbsp;</div>	
DISTINCT	return only distinct(different) values
SELECT	"SELECT statement is used to select data from a database<div><br></div><div><span style=""color: mediumblue;"">SELECT</span>&nbsp;<em>column1</em>,<em>&nbsp;column2, ...</em><br><span style=""color: mediumblue;"">FROM</span>&nbsp;<em>table_name</em>;<br></div>"
SELECT DISTINCT	SELECT DISTINCT statement is used to return only distinct (different) values.<div><br></div><div>SELECT&nbsp;DISTINCT&nbsp;column1,&nbsp;column2, ...<br>FROM&nbsp;table_name;<br></div>
WHERE	WHERE clause is used to filter records.<div><br></div>
AND	Combine WHERE conditions. Displays a record if all the conditions are TRUE
OR	Combine WHERE conditions. Displays a record if any of the conditions are TRUE
NOT&nbsp;	Negatte WHERE conditions. Displays a record if all the conditions are NOT TRUE
ORDER BY&nbsp;	ORDER BY keyword is used to sort the result-set in ascending or descending order. ASC, DESC follows columns<div><br></div><div>SELECT&nbsp;column1,&nbsp;column2, ...<br>FROM&nbsp;table_name<br>ORDER&nbsp;BY&nbsp;column1, column2, ...&nbsp;ASC|DESC;<br></div>
INSERT INTO	INSERT INTO statement is used to insert new records in a table.<div><br><div>Specifies both the column names and the values to be inserted:<br></div><div>INSERT&nbsp;INTO&nbsp;table_name&nbsp;(column1,&nbsp;column2,&nbsp;column3, ...)<br>VALUES&nbsp;(value1,&nbsp;value2,&nbsp;value3, ...);<br></div><div><br></div><div>If you are adding values for all the columns of the table, you do not need to specify the column names in the SQL query. However, make sure the order of the values is in the same order as the columns in the table.<br></div><div>INSERT&nbsp;INTO&nbsp;table_name<br>VALUES&nbsp;(value1,&nbsp;value2,&nbsp;value3, ...);<br></div></div>
NULL&nbsp;	A field with a NULL value is a field with no value.<div><br></div><div>If a field in a table is optional, it is possible to insert a new record or update a record without adding a value to this field. Then, the field will be saved with a NULL value.<br></div><div><br></div><div>IS NULL Syntax<br></div><div>SELECT&nbsp;column_names<br>FROM&nbsp;table_name<br>WHERE&nbsp;column_name&nbsp;IS&nbsp;NULL;<br></div><div><br></div><div>IS NOT NULL Syntax<br></div><div>SELECT&nbsp;column_names<br>FROM&nbsp;table_name<br>WHERE&nbsp;column_name&nbsp;IS&nbsp;NOT&nbsp;NULL;<br></div>
UPDATE	The UPDATE statement is used to modify the existing records in a table.<div><br></div><div>UPDATE&nbsp;table_name<br>SET&nbsp;column1&nbsp;=&nbsp;value1,&nbsp;column2&nbsp;=&nbsp;value2, ...<br>WHERE&nbsp;condition;<br></div>
DELETE&nbsp;	The DELETE statement is used to delete existing records in a table.<div><br></div><div>DELETE&nbsp;FROM&nbsp;table_name&nbsp;WHERE&nbsp;condition;<br></div>
MIN()&nbsp;	The MIN() function returns the smallest value of the selected column.<div>SELECT&nbsp;MIN(column_name)<br>FROM&nbsp;table_name<br>WHERE&nbsp;condition;<br></div>
MAX()&nbsp;	The MAX() function returns the largest value of the selected column.<div><br></div><div>SELECT&nbsp;MAX(column_name)<br>FROM&nbsp;table_name<br>WHERE&nbsp;condition;<br></div>
COUNT()	COUNT() function returns the number of rows that matches a specified criterion.<div><br></div><div>SELECT&nbsp;COUNT(column_name)<br>FROM&nbsp;table_name<br>WHERE&nbsp;condition;<br></div>
AVG()	The AVG() function returns the average value of a numeric column.<div><br></div><div>SELECT&nbsp;AVG(column_name)<br>FROM&nbsp;table_name<br>WHERE&nbsp;condition;<br></div>
SUM()	The SUM() function returns the total sum of a numeric column.<div><br></div><div>SELECT&nbsp;SUM(column_name)<br>FROM&nbsp;table_name<br>WHERE&nbsp;condition;<br></div>
LIKE&nbsp;	LIKE operator is used in a WHERE clause to search for a specified pattern in a column.<div><br></div><div><div>There are two wildcards often used in conjunction with the LIKE operator:</div><ul><li>% - The percent sign represents zero, one, or multiple characters</li><li>_ - The underscore represents a single character</li></ul><div>SELECT&nbsp;column1, column2, ...<br>FROM&nbsp;table_name<br>WHERE&nbsp;columnN&nbsp;LIKE&nbsp;pattern;<br></div></div>
IN	<div>The IN operator allows you to specify multiple values in a WHERE clause.</div><div>The IN operator is a shorthand for multiple OR conditions.</div><div><br></div><div>SELECT&nbsp;column_name(s)<br>FROM&nbsp;table_name<br>WHERE&nbsp;column_name&nbsp;IN&nbsp;(value1,&nbsp;value2, ...);<br></div><div><br></div><div>SELECT&nbsp;column_name(s)<br>FROM&nbsp;table_name<br>WHERE&nbsp;column_name&nbsp;IN&nbsp;(SELECT&nbsp;STATEMENT);<br></div>
